ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
5555 Carnarvon St;Public School;Kerrisdale Elementary;"{""coordinates"": [-123.17345921, 49.23616824506754], ""type"": ""Point""}";Dunbar-Southlands
6454 Killarney St;Public School;Killarney Secondary;"{""coordinates"": [-123.04415722000002, 49.22530010406748], ""type"": ""Point""}";Killarney
2500 Lakewood Drive;Public School;Laura Secord Elementary;"{""coordinates"": [-123.06022338, 49.26173570306765], ""type"": ""Point""}";Kensington-Cedar Cottage
1100 Bidwell St;Public School;Lord Roberts Elementary;"{""coordinates"": [-123.13784476, 49.28678528206777], ""type"": ""Point""}";West End
1750 E 22nd Av;Public School;Lord Selkirk Elementary;"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}";Kensington-Cedar Cottage
592 E Pender St;Public School;Lord Strathcona Community Elementary;"{""coordinates"": [-123.09147679242075, 49.27981151466552], ""type"": ""Point""}";Strathcona
1936 W 10th Av;Public School;Lord Tennyson Elementary;"{""coordinates"": [-123.14937705, 49.262518934067664], ""type"": ""Point""}";Kitsilano
1950 E Hastings St;StrongStart BC;MacDonald StrongStart Centre;"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}";Grandview-Woodland
6199 Cypress St;Public School;Maple Grove Elementary;"{""coordinates"": [-123.15151486, 49.22940869906749], ""type"": ""Point""}";Kerrisdale
2300 Guelph St;Public School;Mount Pleasant Elementary;"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}";Mount Pleasant
4102 W 16th Av;Public School;Norma Rose Point School;"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}";Dunbar-Southlands
5750 Oak St;Independent School;Pacific Torah Institute;"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}";Oakridge
981 Nelson St;Independent School;Pattison High School;"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}";Downtown
981 Nelson St;Independent School;Pattison School;"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}";Downtown
5350 East Boulevard;Public School;Point Grey Secondary;"{""coordinates"": [-123.15343060436416, 49.23728903611385], ""type"": ""Point""}";Shaughnessy
2250 Eddington Drive;Public School;Prince of Wales Secondary;"{""coordinates"": [-123.15953565, 49.24498305306758], ""type"": ""Point""}";Arbutus-Ridge
1300 E Broadway;Public School;Queen Alexandra Elementary;"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}";Kensington-Cedar Cottage
5300 Maple St;Public School;Quilchena Elementary;"{""coordinates"": [-123.15157081, 49.23724621006754], ""type"": ""Point""}";Shaughnessy
8610 Ash St;Independent School;Royal Canadian College;"{""coordinates"": [-123.11860774594169, 49.20724201501598], ""type"": ""Point""}";Marpole
100 W 15th Av;Public School;Simon Fraser Elementary;"{""coordinates"": [-123.10819689943345, 49.25717135541721], ""type"": ""Point""}";Mount Pleasant
960 E 39th Av;StrongStart BC;Sir Alexander Mackenzie StrongStart;"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}";Kensington-Cedar Cottage
6901 Elliott St;Public School;Sir Charles Kingsford-Smith;"{""coordinates"": [-123.0557042, 49.221596673067474], ""type"": ""Point""}";Victoria-Fraserview
7668 Borden St;Public School;Sir James Douglas Annex;"{""coordinates"": [-123.07329351, 49.214830464067425], ""type"": ""Point""}";Victoria-Fraserview
4750 St. Catherines St;Public School;Sir Richard McBride Annex;"{""coordinates"": [-123.08495018892324, 49.241944229212045], ""type"": ""Point""}";Kensington-Cedar Cottage
1401 E 49th Av;Public School;Sir Sandford Fleming Elementary;"{""coordinates"": [-123.07657409, 49.22574768906748], ""type"": ""Point""}";Victoria-Fraserview
3323 Wellington Av;Public School;Sir Wilfred Grenfell Community;"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}";Renfrew-Collingwood
3323 Wellington Av;StrongStart BC;Sir Wilfred Grenfell StrongStart Centre;"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}";Renfrew-Collingwood
7350 Laurel St;Public School;Sir Wilfrid Laurier Elementary;"{""coordinates"": [-123.12504721, 49.21776253406744], ""type"": ""Point""}";Marpole
428 Great Northern Way;Independent School;St Francis Xavier;"{""coordinates"": [-123.09452064422761, 49.26646231107508], ""type"": ""Point""}";Mount Pleasant
1885 W Broadway;Independent School;St John's International;"{""coordinates"": [-123.14789881614395, 49.2640409804403], ""type"": ""Point""}";Kitsilano
